"Date Printed: Friday, October 24, 2025 4:24:58 PM"
Title: "Chlamydia | Gonorrhea | Primary and Secondary Syphilis | 2021 | 2022 | 2023 | United States | American Indian/Alaska Native | Asian | Black/African American | Hispanic/Latino | Multiracial | Native Hawaiian/Other Pacific Islander | White | Female | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Race/Ethnicity,Sex,Cases,Rate per 100000
"Chlamydia","2021","American Indian/Alaska Native","Female","11,650","938.1"
"Chlamydia","2021","American Indian/Alaska Native","Male","4,289","354.5"
"Gonorrhea","2021","American Indian/Alaska Native","Female","5,394","434.3"
"Gonorrhea","2021","American Indian/Alaska Native","Male","3,691","305.0"
"Chlamydia","2022","American Indian/Alaska Native","Female","12,552","1025.8"
"Chlamydia","2022","American Indian/Alaska Native","Male","4,781","399.3"
"Gonorrhea","2022","American Indian/Alaska Native","Female","5,342","436.6"
"Gonorrhea","2022","American Indian/Alaska Native","Male","3,691","308.3"
"Chlamydia","2023","American Indian/Alaska Native","Female","12,422","1007.5"
"Chlamydia","2023","American Indian/Alaska Native","Male","4,845","403.8"
"Gonorrhea","2023","American Indian/Alaska Native","Female","4,191","339.9"
"Gonorrhea","2023","American Indian/Alaska Native","Male","2,908","242.4"
"Primary and Secondary Syphilis","2023","American Indian/Alaska Native","Male","763","63.6"
"Primary and Secondary Syphilis","2023","American Indian/Alaska Native","Female","652","52.9"
"Chlamydia","2022","Asian","Female","11,541","109.8"
"Chlamydia","2022","Asian","Male","8,824","90.3"
"Gonorrhea","2022","Asian","Female","1,747","16.6"
"Gonorrhea","2022","Asian","Male","6,312","64.6"
"Chlamydia","2023","Asian","Female","12,048","112.1"
"Chlamydia","2023","Asian","Male","9,688","97.5"
"Gonorrhea","2023","Asian","Female","1,749","16.3"
"Gonorrhea","2023","Asian","Male","7,350","74.0"
"Primary and Secondary Syphilis","2023","Asian","Male","803","8.1"
"Primary and Secondary Syphilis","2023","Asian","Female","93","0.9"
"Chlamydia","2022","Black/African American","Female","281,391","1288.2"
"Chlamydia","2022","Black/African American","Male","186,458","921.9"
"Gonorrhea","2022","Black/African American","Female","97,216","445.0"
"Gonorrhea","2022","Black/African American","Male","148,933","736.3"
"Primary and Secondary Syphilis","2022","Black/African American","Female","4,339","19.9"
"Primary and Secondary Syphilis","2022","Black/African American","Male","14,338","70.9"
"Chlamydia","2023","Black/African American","Female","295,450","1342.2"
"Chlamydia","2023","Black/African American","Male","197,855","974.7"
"Gonorrhea","2023","Black/African American","Female","91,107","413.9"
"Gonorrhea","2023","Black/African American","Male","144,666","712.6"
"Primary and Secondary Syphilis","2023","Black/African American","Female","4,137","18.8"
"Primary and Secondary Syphilis","2023","Black/African American","Male","12,651","62.3"
"Gonorrhea","2022","Hispanic/Latino","Male","54,499","168.8"
"Primary and Secondary Syphilis","2022","Hispanic/Latino","Female","2,142","6.8"
"Primary and Secondary Syphilis","2022","Hispanic/Latino","Male","9,676","30.0"
"Chlamydia","2023","Hispanic/Latino","Female","164,843","511.2"
"Chlamydia","2023","Hispanic/Latino","Male","87,604","265.7"
"Gonorrhea","2023","Hispanic/Latino","Female","24,978","77.5"
"Gonorrhea","2023","Hispanic/Latino","Male","58,352","177.0"
